package_id,package_name,company_name,package_cc,package_type,package_price,detail,,,,,,,,id
AKA002,PMD110MD1,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,ป.3 ไดมอนด์,0,แคมเปญไดมอนด์ ประเภท 3 ไม่รวม พรบ. รถยนต์นั่ง,,,,,,,,
AKA003,PME110EC05,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,3+ ECO Car,0,แคมเปญECO Car,,,,,,,,
AKA004,PME110EP10,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,3+ ZERO,0,แคมเปญซีโร่ญี่ปุ่น,,,,,,,,
AKA005,PME110EU75,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,3+ ZERO,0,แคมเปญซีโร่ยุโรป,,,,,,,,
AKA006,PMG110MG6 ,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,ป.3 โกลด์,0,แคมเปญโกลด์ ประเภท 3 รวม พรบ. รถยนต์นั่ง,,,,,,,,
AKA007,PMP110P010,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,3+ แพลทตินั่ม,0,"3+ ทุน 1 แสน,Deduct 2 พัน",,,,,,,,
AKA008,PMP110P015,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,3+ แพลทตินั่ม,0,"3+ ทุน 150,000,Deduct 2 พัน",,,,,,,,
AKA009,PMP110PD10,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,3+ แพลทตินั่ม,0,"3+ ทุน 1 แสน,Deduct 1 พัน",,,,,,,,
AKA010,PMP110PD15,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,3+ แพลทตินั่ม,0,"3+ ทุน 150,000,Deduct 1 พัน",,,,,,,,
AKA011,PMP110PN10,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,3+ แพลทตินั่ม,0,"3+ ทุน 100,000, No Deduct",,,,,,,,
AKA012,PMP110PN15,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,3+ แพลทตินั่ม,0,"3+ ทุน 150,000, No Deduct",,,,,,,,
AKA013,PMS110S015,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,2+,0,"2+ ทุน 150,000 ,Deduct 2,000",,,,,,,,
AKA014,PMS110SD15,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,2+,0,"2+ ทุน 150,000 ,Deduct 1,000",,,,,,,,
AKA015,PMS110SN10,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,2+,0,"2+ ทุน 100,000 ,No Deduct",,,,,,,,
AKA016,PMS110SN15,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,2+,0,"2+ ทุน 150,000 ,No Deduct",,,,,,,,
AKA017,PMS110SN20,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,2+,0,"2+ ทุน 200,000 ,No Deduct",,,,,,,,
AKA018,PMS110SN30,อาคเนย์ประกันภัย,รถยนต์ที่นั่ง,2+,0,"2+ ทุน 300,000 ,No Deduct",,,,,,,,
AKA019,PMC120MC5,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,ป.3 ซิลเวอร์,0,แคมเปญซิลเวอร์ ประเภท 3 รวม พรบ. รถยนต์นั่งนิติบุคคล,,,,,,,,
